"Title","Year","Category","Format","Version","Studio","Duration","Remark","만든 날짜","Lable","Included","NEW","TrailerLink","Note"
"Spider-Man: Brand New Day","2026","TLR","SX","A/1","Sony","2min 35sec",,"2026-05-14 오후 4:08",,,,"https://www.imdb.com/video/vi281856793/",
"Michael","2026","TLR","SX","SX","Lionsgate/Universal","60s","ONLY JP","2026-05-18 오전 9:32",,,,,
"Michael","2026","TLR","4DX","SX","Lionsgate/Universal","60s","ONLY JP","2026-05-18 오전 9:32",,,,,
"Star Wars: The Mandalorian and Grogu","2026","TLR","SX","Entrance/JP","Disney","45s","JP ONLY","2026-05-19 오전 9:02",,,,,
"Sky Dive (92sec)","0","Brand TLR","4DX","TW",,"92sec","w/DCP+Code","2026-05-22 오후 2:04",,,,,
"Minions & Monsters","2026","TLR","4DX","D-SAFE/2-SAFE","Universal","2min 27sec",,"2026-05-28 오후 6:47",,,,"https://www.imdb.com/video/vi2417675033/",
"Minions & Monsters","2026","TLR","4DX","D/2","Universal","2min 27sec",,"2026-05-28 오후 6:47",,,,,
"Minions & Monsters","2026","TLR","4DX","A/1","Universal","2min 11sec",,"2026-05-28 오후 6:47",,,,"https://www.imdb.com/video/vi1407240985/",
"Minions & Monsters","2026","TLR","4DX","G","Universal","1min 2sec",,"2026-05-28 오후 6:47",,,,,
"Minions & Monsters","2026","TLR","4DX","H","Universal","1min 2sec",,"2026-05-28 오후 6:48",,,,,
"Michael","2026","TLR","SX","Entrance/JP","Lionsgate/Universal","60s","ONLY JP","2026-06-01 오전 10:27",,,,,
"Supergirl","2026","기타","4DX","CLP","Warner",,"Special Screening","2026-06-02 오후 2:49",,,,,
"Toy Story 5","2026","TLR","SX","B/3","Disney","2min 26sec",,"2026-06-02 오후 4:12",,,,"https://www.imdb.com/video/vi1592511257/","FLAT ONLY"
"Toy Story 5","2026","TLR","SX","Entrance/OV","Disney","30sec",,"2026-06-09 오후 4:04",,,,,
"ENHYPEN : IMMERSION IN CINEMAS","2026","TLR","4DX","JP","Local-Korea",,"ONLY JP","2026-06-09 오후 4:32",,,,,
"Minions & Monsters","2026","TLR","SX","A/1","Universal","2min 11sec",,"2026-06-11 오후 5:31",,,,"https://www.imdb.com/video/vi1407240985/",
"Supergirl","2026","TLR","SX","F4/5","Warner","2min 24sec",,"2026-06-11 오후 5:33",,,,,
"Spider-Man: Brand New Day","2026","TLR","SX","4/J","Sony","2min 22sec",,"2026-06-15 오전 11:19",,,,,
